# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.76
1                       104.14
2                       100.02
4                       103.80
8                       101.86
16                      104.33
32                      116.94
64                      112.43
128                     996.67
256                    2144.58
512                    3053.54
1024                   3002.95
2048                   2558.23
4096                   3049.74
8192                   4141.53
16384                  6511.28
32768                 10806.69
65536                 19242.93
131072                36229.33
262144                69945.59
524288               136757.11
1048576              270599.92
